year_month,forecast,lower_90,upper_90
2024-01-01,4639.734435945909,3453.8180499971004,5825.650821894718
2024-02-01,4309.489972466849,2655.6445981847733,5963.335346748925
2024-03-01,4950.907874309582,2922.2775862761264,6979.5381623430385
2024-04-01,5179.360909718138,2831.310074881525,7527.411744554751
2024-05-01,5346.617303808217,2731.3762344214483,7961.858373194986
2024-06-01,5203.552865827469,2334.594400688832,8072.511330966106
2024-07-01,5415.938507637716,2314.5592288487783,8517.317786426653
2024-08-01,5476.379806075345,2168.003587983468,8784.756024167222
2024-09-01,4794.585068469093,1280.8437536421789,8308.326383296007
2024-10-01,5150.04926718382,1445.6845674752358,8854.413966892404
2024-11-01,4348.2955586445,468.47212277078506,8228.118994518214
2024-12-01,4069.864563691609,12.629998256552426,8127.0991291266655
2025-01-01,4608.4999342162655,335.25141037024605,8881.748458062284
2025-02-01,3924.7560439859585,-549.2508345371657,8398.762922509082
2025-03-01,4939.930541198737,263.7227304449434,9616.13835195253
2025-04-01,5104.4251541217645,241.16159041116316,9967.688717832367
2025-05-01,4974.782747573299,-66.80229648037312,10016.367791626972
2025-06-01,5249.582714996945,27.459222478621996,10471.706207515268
2025-07-01,5276.096056360526,-112.9292196013539,10665.121332322406
2025-08-01,5138.516816818517,-413.10929329133523,10690.142926928369
2025-09-01,4872.833765646738,-843.1241413540547,10588.79167264753
2025-10-01,4948.764638163016,-919.120190019571,10816.649466345603
2025-11-01,4058.9078314557537,-1959.8390503869587,10077.654713298467
2025-12-01,4168.477780063345,-2001.7305289749947,10338.686089101684
2026-01-01,4351.291276281924,-1992.2540837338693,10694.836636297718
2026-02-01,3697.736307976309,-2818.322425686848,10213.795041639467
2026-03-01,5033.712176294925,-1653.442841351828,11720.867193941678
2026-04-01,4797.706727655865,-2049.2064343677393,11644.619889679469
2026-05-01,4810.511289488724,-2197.6134415278384,11818.636020505288
2026-06-01,5320.986755546694,-1845.7050550531485,12487.678566146536
2026-07-01,4932.89749586815,-2382.947778194234,12248.742769930534
2026-08-01,5039.134744691372,-2428.7249979859607,12506.994487368705
2026-09-01,4905.850693264542,-2710.105249044327,12521.806635573412
2026-10-01,4585.347725582187,-3171.2682486279136,12341.963699792288
2026-11-01,4021.463173317189,-3879.403155362159,11922.329501996537
2026-12-01,4150.478289488063,-3889.5679429309657,12190.524521907091
2027-01-01,3985.3504629798495,-4216.523314403061,12187.22424036276
2027-02-01,3714.5994442604624,-4651.536996763769,12080.735885284694
2027-03-01,4955.752010288317,-3567.948162906605,13479.45218348324
2027-04-01,4446.985277446513,-4230.000755127561,13123.971310020586
2027-05-01,4869.693304313662,-3962.9374399657054,13702.32404859303
2027-06-01,5178.939853269984,-3802.309982278396,14160.189688818366
2027-07-01,4613.972259188151,-4513.54594101275,13741.490459389051
2027-08-01,5125.593269843635,-4149.996742045527,14401.183281732798
2027-09-01,4700.529933145618,-4716.065964012797,14117.125830304034
2027-10-01,4312.301267225259,-5244.631453178101,13869.233987628619
2027-11-01,4118.109392641879,-5580.116674957108,13816.335460240865
2027-12-01,3887.5700760849927,-5945.146748533225,13720.28690070321
