year_month,level_label,complaints
2000-01-01,Administrative (Warden),657
2000-01-01,Final (Central Office),1645
2000-01-01,Regional (Director),1376
2000-02-01,Administrative (Warden),622
2000-02-01,Final (Central Office),1525
2000-02-01,Regional (Director),1270
2000-03-01,Administrative (Warden),685
2000-03-01,Final (Central Office),1875
2000-03-01,Regional (Director),1523
2000-04-01,Administrative (Warden),619
2000-04-01,Final (Central Office),1613
2000-04-01,Regional (Director),1304
2000-05-01,Regional (Director),1533
2000-05-01,Administrative (Warden),722
2000-05-01,Final (Central Office),1969
2000-06-01,Administrative (Warden),639
2000-06-01,Final (Central Office),1779
2000-06-01,Regional (Director),1580
2000-07-01,Administrative (Warden),765
2000-07-01,Final (Central Office),1681
2000-07-01,Regional (Director),1366
2000-08-01,Regional (Director),1577
2000-08-01,Administrative (Warden),921
2000-08-01,Final (Central Office),2034
2000-09-01,Regional (Director),1382
2000-09-01,Final (Central Office),1963
2000-09-01,Administrative (Warden),589
2000-10-01,Administrative (Warden),784
2000-10-01,Final (Central Office),1826
2000-10-01,Regional (Director),1524
2000-11-01,Administrative (Warden),678
2000-11-01,Final (Central Office),1889
2000-11-01,Regional (Director),1427
2000-12-01,Administrative (Warden),802
2000-12-01,Final (Central Office),1650
2000-12-01,Regional (Director),1372
2001-01-01,Final (Central Office),1835
2001-01-01,Regional (Director),1374
2001-01-01,Administrative (Warden),741
2001-02-01,Administrative (Warden),648
2001-02-01,Final (Central Office),1582
2001-02-01,Regional (Director),1374
2001-03-01,Administrative (Warden),656
2001-03-01,Final (Central Office),1793
2001-03-01,Regional (Director),1580
2001-04-01,Administrative (Warden),670
2001-04-01,Final (Central Office),1747
2001-04-01,Regional (Director),1418
2001-05-01,Regional (Director),1583
2001-05-01,Administrative (Warden),638
2001-05-01,Final (Central Office),2013
2001-06-01,Regional (Director),1420
2001-06-01,Final (Central Office),1812
2001-06-01,Administrative (Warden),706
2001-07-01,Administrative (Warden),861
2001-07-01,Final (Central Office),1825
2001-07-01,Regional (Director),1381
2001-08-01,Administrative (Warden),845
2001-08-01,Final (Central Office),2129
2001-08-01,Regional (Director),1585
2001-09-01,Administrative (Warden),600
2001-09-01,Final (Central Office),1745
2001-09-01,Regional (Director),1444
2001-10-01,Final (Central Office),1942
2001-10-01,Regional (Director),1632
2001-10-01,Administrative (Warden),501
2001-11-01,Administrative (Warden),30
2001-11-01,Final (Central Office),1679
2001-11-01,Regional (Director),1451
2001-12-01,Administrative (Warden),276
2001-12-01,Final (Central Office),1483
2001-12-01,Regional (Director),1610
2002-01-01,Administrative (Warden),1121
2002-01-01,Final (Central Office),1947
2002-01-01,Regional (Director),1330
2002-02-01,Regional (Director),1407
2002-02-01,Administrative (Warden),895
2002-02-01,Final (Central Office),1759
2002-03-01,Regional (Director),1497
2002-03-01,Final (Central Office),2019
2002-03-01,Administrative (Warden),1114
2002-04-01,Administrative (Warden),1054
2002-04-01,Final (Central Office),2144
2002-04-01,Regional (Director),1870
2002-05-01,Administrative (Warden),828
2002-05-01,Final (Central Office),1992
2002-05-01,Regional (Director),1728
2002-06-01,Administrative (Warden),949
2002-06-01,Final (Central Office),1869
2002-06-01,Regional (Director),1472
2002-07-01,Final (Central Office),2053
2002-07-01,Regional (Director),1601
